Step,AgentID,livestock,income,plots,owner,draft,wealth
4,"(42, 32)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,-669872.0
5,"(6, 40)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,24630235.0
5,"(7, 43)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,31356989.0
5,"(11, 39)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,14681169.0
5,"(13, 42)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,2014926.0
5,"(18, 38)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,15706100.0
5,"(26, 27)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,22650394.0
5,"(29, 9)",0,"[1645300.0, 2607000.0, 4944085.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0]",5,3,1,18004127.0
5,"(33, 20)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,12476383.0
5,"(34, 15)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,49745330.0
5,"(38, 28)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,-145156.0
5,"(40, 27)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,6013446.0
6,"(6, 40)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,27965150.0
6,"(7, 44)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,35656770.0
6,"(11, 39)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,16665956.0
6,"(13, 43)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,2568775.0
6,"(17, 38)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,17859474.0
6,"(26, 27)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,25687824.0
6,"(29, 8)",0,"[1645300.0, 2607000.0, 4944085.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0]",5,3,1,20639934.0
6,"(33, 19)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,14228134.0
6,"(34, 15)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,56495970.0
6,"(36, 24)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,33424.0
6,"(40, 27)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,7234676.0
7,"(7, 40)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,31127245.0
7,"(7, 43)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,39772675.0
7,"(12, 40)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,18547051.0
7,"(14, 43)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,3088060.0
7,"(17, 38)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,19932664.0
7,"(26, 26)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,28634014.0
7,"(30, 8)",0,"[1645300.0, 2607000.0, 4944085.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0]",5,3,1,23190029.0
7,"(33, 18)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,15905229.0
7,"(34, 15)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,62900970.0
7,"(37, 20)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,825614.0
7,"(41, 26)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,8491866.0
8,"(7, 39)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,37569275.0
8,"(8, 42)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,48174339.0
8,"(11, 39)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,22396107.0
8,"(15, 41)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,4263332.0
8,"(17, 38)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,24323652.0
8,"(26, 26)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,34903826.0
8,"(30, 8)",0,"[1645300.0, 2607000.0, 4944085.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0]",5,3,1,28560834.0
