Step,owner,age,GM,harvest,crop,plID,X,Y
25,49,9,1265780.25,3616.515,cashew,1,49,84
25,7,13,1719375.0,4912.5,cashew,1,51,25
25,7,7,892589.2499999999,2550.2549999999997,cashew,7,52,18
25,7,7,651525.0,1861.5,cashew,6,54,31
25,7,7,651525.0,1861.5,cashew,3,55,31
25,7,7,651525.0,1861.5,cashew,4,55,32
25,7,7,886074.0,2531.64,cashew,8,57,16
25,7,13,1732499.9999999998,4949.999999999999,cashew,2,57,23
25,7,7,651525.0,1861.5,cashew,5,58,31
25,32,16,1693125.0,4837.5,cashew,2,70,43
25,32,16,1312500.0,3750.0,cashew,1,72,34
25,23,2,0.0,0.0,cashew,1,81,50
25,23,2,0.0,0.0,cashew,2,86,51
26,11,6,486675.0,1390.5,cashew,1,30,60
26,11,6,486675.0,1390.5,cashew,2,30,65
26,0,27,1312500.0,3750.0,cashew,0,33,62
26,30,18,875000.0,2500.0,cashew,2,38,56
26,30,18,875000.0,2500.0,cashew,1,39,58
26,49,10,1535740.5,4387.83,cashew,2,43,83
26,26,7,651525.0,1861.5,cashew,1,44,33
26,26,7,651525.0,1861.5,cashew,2,45,32
26,49,10,1478436.7500000002,4224.1050000000005,cashew,1,49,84
26,7,14,1719375.0,4912.5,cashew,1,51,25
26,7,8,1118433.7499999998,3195.5249999999996,cashew,7,52,18
26,7,8,816375.0,2332.5,cashew,6,54,31
26,7,8,816375.0,2332.5,cashew,3,55,31
26,7,8,816375.0,2332.5,cashew,4,55,32
26,7,8,1110270.0,3172.2000000000003,cashew,8,57,16
26,7,14,1732499.9999999998,4949.999999999999,cashew,2,57,23
26,7,8,816375.0,2332.5,cashew,5,58,31
26,32,17,1693125.0,4837.5,cashew,2,70,43
26,27,0,0.0,0.0,cashew,2,71,45
26,32,17,1312500.0,3750.0,cashew,1,72,34
26,27,0,0.0,0.0,cashew,1,78,35
26,23,3,0.0,0.0,cashew,1,81,50
26,23,3,0.0,0.0,cashew,2,86,51
27,11,7,651525.0,1861.5,cashew,1,30,60
27,11,7,651525.0,1861.5,cashew,2,30,65
27,0,28,1312500.0,3750.0,cashew,0,33,62
27,30,19,875000.0,2500.0,cashew,2,38,56
27,30,19,875000.0,2500.0,cashew,1,39,58
27,49,11,1758749.9999999998,5024.999999999999,cashew,2,43,83
27,26,8,816375.0,2332.5,cashew,1,44,33
27,26,8,816375.0,2332.5,cashew,2,45,32
27,49,11,1693125.0,4837.5,cashew,1,49,84
27,7,15,1719375.0,4912.5,cashew,1,51,25
27,7,9,1344278.2499999998,3840.7949999999996,cashew,7,52,18
27,7,9,981225.0,2803.5,cashew,6,54,31
27,7,9,981225.0,2803.5,cashew,3,55,31
27,7,9,981225.0,2803.5,cashew,4,55,32
27,7,9,1334466.0,3812.76,cashew,8,57,16
27,7,15,1732499.9999999998,4949.999999999999,cashew,2,57,23
27,7,9,981225.0,2803.5,cashew,5,58,31
27,32,18,1693125.0,4837.5,cashew,2,70,43
27,27,1,-28000.0,0.0,cashew,2,71,45
27,32,18,1312500.0,3750.0,cashew,1,72,34
27,27,1,-28000.0,0.0,cashew,1,78,35
27,23,4,203175.0,580.5,cashew,1,81,50
27,23,4,204749.99999999997,584.9999999999999,cashew,2,86,51
28,11,8,816375.0,2332.5,cashew,1,30,60
28,11,8,816375.0,2332.5,cashew,2,30,65
28,0,29,1312500.0,3750.0,cashew,0,33,62
28,30,20,875000.0,2500.0,cashew,2,38,56
28,30,20,875000.0,2500.0,cashew,1,39,58
28,49,12,1758749.9999999998,5024.999999999999,cashew,2,43,83
28,26,9,981225.0,2803.5,cashew,1,44,33
28,26,9,981225.0,2803.5,cashew,2,45,32
28,49,12,1693125.0,4837.5,cashew,1,49,84
28,7,16,1719375.0,4912.5,cashew,1,51,25
28,7,10,1570122.7499999998,4486.065,cashew,7,52,18
28,7,10,1146075.0,3274.5,cashew,6,54,31
28,7,10,1146075.0,3274.5,cashew,3,55,31
28,7,10,1146075.0,3274.5,cashew,4,55,32
28,7,10,1558662.0,4453.32,cashew,8,57,16
28,7,16,1732499.9999999998,4949.999999999999,cashew,2,57,23
28,7,10,1146075.0,3274.5,cashew,5,58,31
28,32,19,1693125.0,4837.5,cashew,2,70,43
28,27,2,0.0,0.0,cashew,2,71,45
28,32,19,1312500.0,3750.0,cashew,1,72,34
28,27,2,0.0,0.0,cashew,1,78,35
28,23,5,415154.25,1186.155,cashew,1,81,50
28,23,5,418372.49999999994,1195.35,cashew,2,86,51
29,11,9,981225.0,2803.5,cashew,1,30,60
29,11,9,981225.0,2803.5,cashew,2,30,65
29,0,30,1312500.0,3750.0,cashew,0,33,62
29,30,21,875000.0,2500.0,cashew,2,38,56
29,30,21,875000.0,2500.0,cashew,1,39,58
29,49,13,1758749.9999999998,5024.999999999999,cashew,2,43,83
29,26,10,1146075.0,3274.5,cashew,1,44,33
29,26,10,1146075.0,3274.5,cashew,2,45,32
29,49,13,1693125.0,4837.5,cashew,1,49,84
29,7,17,1719375.0,4912.5,cashew,1,51,25
29,7,11,1798124.9999999998,5137.499999999999,cashew,7,52,18
29,7,11,1312500.0,3750.0,cashew,6,54,31
29,7,11,1312500.0,3750.0,cashew,3,55,31
29,7,11,1312500.0,3750.0,cashew,4,55,32
29,7,11,1785000.0,5100.0,cashew,8,57,16
29,7,17,1732499.9999999998,4949.999999999999,cashew,2,57,23
29,7,11,1312500.0,3750.0,cashew,5,58,31
29,32,20,1693125.0,4837.5,cashew,2,70,43
29,27,3,0.0,0.0,cashew,2,71,45
29,32,20,1312500.0,3750.0,cashew,1,72,34
29,27,3,0.0,0.0,cashew,1,78,35
