Step,owner,plID,crop,mgt,harvest,GM,pot,steps_cult,suitability,steps_fallow,X,Y
0,27,16,M,lo,1800.0,111940.0,1.5,7,1.5,0,35,65
0,61,6,C,lo,1350.0,241918.0,1.5,4,1.5,0,36,37
0,61,8,G,lo,729.0,145800.0,1.5,10,1.5,0,36,39
0,61,12,G,lo,729.0,145800.0,1.5,8,1.5,0,36,40
0,26,4,M,lo,1800.0,111940.0,1.5,8,1.5,0,36,44
0,26,2,G,lo,729.0,145800.0,1.5,10,1.5,0,36,45
0,26,1,M,lo,1800.0,111940.0,1.5,6,1.5,0,36,46
0,15,6,C,lo,1350.0,241918.0,1.5,7,1.5,0,36,54
0,15,4,G,lo,729.0,145800.0,1.5,7,1.5,0,36,55
0,15,5,C,lo,1350.0,241918.0,1.5,1,1.5,0,36,56
0,15,13,M,lo,1800.0,111940.0,1.5,5,1.5,0,36,61
0,27,9,G,lo,729.0,145800.0,1.5,5,1.5,0,36,63
0,27,14,C,lo,1350.0,241918.0,1.5,9,1.5,0,36,64
0,15,18,G,lo,0.0,0.0,1.77,0,1.5,6,36,65
0,5,5,G,lo,729.0,145800.0,1.5,7,1.5,0,37,31
0,61,3,M,lo,1800.0,111940.0,1.5,1,1.5,0,37,37
0,61,5,G,lo,729.0,145800.0,1.5,4,1.5,0,37,38
0,34,5,M,lo,1800.0,111940.0,1.5,10,1.5,0,37,40
0,34,10,G,lo,729.0,145800.0,1.5,8,1.5,0,37,43
0,26,3,G,lo,729.0,145800.0,1.5,6,1.5,0,37,44
0,26,0,G,lo,729.0,145800.0,1.5,8,1.5,0,37,45
0,9,32,G,lo,729.0,145800.0,1.5,7,1.5,0,37,46
0,27,5,M,lo,1800.0,111940.0,1.5,10,1.5,0,37,61
0,61,1,M,lo,1800.0,111940.0,1.5,9,1.5,0,38,37
0,61,4,M,lo,1800.0,111940.0,1.5,5,1.5,0,38,38
0,34,6,C,lo,1350.0,241918.0,1.5,10,1.5,0,38,39
0,34,2,C,lo,1350.0,241918.0,1.5,9,1.5,0,38,40
0,9,30,M,lo,1800.0,111940.0,1.5,6,1.5,0,38,44
0,9,29,M,lo,1800.0,111940.0,1.5,2,1.5,0,38,45
0,9,28,G,lo,729.0,145800.0,1.5,3,1.5,0,38,46
