Step,owner,tract,rentin,wealth,draft,trees,rentout,livestock,cplots,hhsize,X,Y
2,19,0,0,571464.5,1.0,0,0,0.0,13,26,61,24
2,40,0,0,299556.0,2.0,1,0,1.0,6,8,61,30
2,10,0,0,1455.0,2.0,0,0,0.0,6,13,63,69
2,32,0,0,90712.5,0.0,0,0,0.0,3,6,66,8
2,11,0,0,54841.0,2.0,1,0,30.0,7,10,72,56
2,6,0,0,0.0,0.0,0,0,0.0,4,9,74,0
2,13,0,0,708604.0,4.0,0,0,65.0,18,25,74,31
2,33,0,0,0.0,0.0,0,0,0.0,1,5,74,79
2,21,0,0,0.0,1.0,0,0,0.0,9,12,85,13
2,20,0,0,305805.5,3.0,1,0,1.0,9,20,89,48
2,30,0,0,2999.5,0.0,0,0,0.0,48,86,89,68
2,9,0,0,131219.91999999993,2.0,0,0,0.0,6,13,90,80
2,27,0,0,11148.0,1.0,1,0,0.0,5,7,91,77
2,8,0,0,0.0,0.0,0,0,0.0,1,3,95,16
2,43,0,0,284603.0,2.0,1,0,5.0,5,9,96,29
2,31,0,0,6128.5,2.0,0,0,0.0,6,16,101,26
2,46,0,0,0.0,1.0,0,0,0.0,3,6,106,32
2,17,0,0,0.0,2.0,0,0,0.0,8,31,108,2
2,7,0,0,0.0,0.0,0,0,0.0,3,7,109,20
3,5,0,0,0.0,2.0,0,0,0.0,3,16,2,91
3,44,0,0,298783.0,2.0,1,0,55.0,5,7,5,79
3,26,0,0,78802.0,2.0,0,0,0.0,6,11,17,43
3,42,0,0,207907.0,2.0,1,0,0.0,6,7,20,72
3,34,0,0,663.0,2.0,1,0,0.0,7,9,21,44
3,41,0,0,138909.0,1.0,28,0,0.0,27,39,23,59
3,39,0,0,0.0,0.0,0,0,0.0,20,33,25,47
3,28,0,0,0.0,1.0,0,0,0.0,4,3,30,48
3,18,0,0,0.0,1.0,0,0,0.0,12,23,32,41
3,0,0,0,0.0,0.0,1,0,0.0,33,80,35,76
3,47,0,0,270393.375,0.0,0,0,0.0,3,6,37,4
3,37,0,0,55426.0,2.0,1,0,0.0,8,16,37,30
3,23,0,0,126377.0,2.0,1,0,0.0,5,9,39,11
3,25,0,0,14034.0,1.0,7,0,0.0,8,10,40,11
3,35,0,0,159515.0,2.0,0,0,0.0,7,11,40,64
3,29,0,0,22623.0,2.0,0,0,0.0,10,20,41,39
3,4,0,0,867796.0,2.0,1,0,0.0,8,16,41,44
3,2,0,0,186406.0,2.0,1,0,4.0,4,5,42,17
3,15,0,0,195627.45999999996,0.0,1,0,0.0,16,34,42,74
3,3,0,0,62842.5,1.0,1,0,0.0,11,16,49,23
3,1,0,0,0.0,0.0,0,0,0.0,2,7,50,44
3,24,0,0,0.0,0.0,0,0,0.0,3,9,52,74
3,16,0,0,261234.5,2.0,1,0,0.0,15,22,53,89
3,14,0,0,1531966.5899999999,3.0,1,0,0.0,20,45,56,43
3,22,0,0,0.0,0.0,0,0,0.0,7,11,56,75
3,38,0,0,7041.999999999069,4.0,0,0,4.0,17,34,58,60
3,12,0,0,0.0,2.0,0,0,0.0,4,18,58,77
3,36,0,0,799856.375,2.0,1,0,0.0,10,20,60,16
3,40,0,0,28938.0,2.0,1,0,1.0,6,8,60,30
3,19,0,0,549830.0,1.0,0,0,0.0,13,26,61,24
3,10,0,0,46879.0,2.0,0,0,0.0,6,13,64,69
3,32,0,0,8329.0,0.0,1,0,0.0,4,6,66,11
3,11,0,0,269865.99999999977,2.0,8,0,28.0,7,10,71,56
3,6,0,0,0.0,0.0,0,0,0.0,4,9,72,2
3,13,0,0,715852.0,4.0,0,0,45.0,18,25,74,31
3,33,0,0,0.0,0.0,0,0,0.0,1,5,74,79
3,21,0,0,0.0,1.0,0,0,0.0,9,12,85,13
3,30,0,0,2032927.545,0.0,0,0,0.0,48,86,88,68
3,20,0,0,3307.4199999999255,4.0,1,0,1.0,10,20,89,48
3,9,0,0,270828.99999999953,2.0,0,0,0.0,7,13,90,80
3,27,0,0,0.0,1.0,1,0,0.0,5,7,91,77
3,8,0,0,45803.0,0.0,0,0,0.0,1,3,95,16
3,43,0,0,257288.5,2.0,1,0,3.0,5,9,96,29
3,31,0,0,0.0,2.0,0,0,0.0,6,16,101,26
3,46,0,0,0.0,1.0,0,0,0.0,3,6,106,32
3,17,0,0,0.0,2.0,0,0,0.0,8,31,108,2
3,7,0,0,0.0,0.0,0,0,0.0,3,7,109,20
4,5,0,0,0.0,2.0,0,0,0.0,3,16,2,91
4,44,0,0,146505.5,2.0,5,0,54.0,5,7,5,79
4,26,0,0,0.0,2.0,0,0,0.0,6,11,16,43
4,42,0,0,3414.999999999767,2.0,7,0,0.0,6,7,20,71
4,34,0,0,75463.5,2.0,1,0,0.0,7,9,21,44
4,41,0,0,0.0,2.0,28,0,0.0,27,39,23,59
4,39,0,0,0.0,0.0,0,0,0.0,20,33,26,47
4,28,0,0,0.0,1.0,0,0,0.0,4,3,30,48
4,18,0,0,8228.5,1.0,1,0,0.0,12,23,31,41
4,47,0,0,0.0,1.0,0,0,0.0,4,6,35,5
4,0,0,0,764242.5,1.0,1,0,0.0,33,80,35,76
4,37,0,0,359624.0,2.0,1,0,0.0,8,16,37,30
4,23,0,0,132516.5,2.0,1,0,0.0,5,9,38,11
4,25,0,0,46363.5,1.0,7,0,0.0,8,10,40,10
4,35,0,0,50572.5,2.0,0,0,0.0,7,11,41,63
4,2,0,0,245929.0,2.0,3,0,2.0,4,5,42,18
4,29,0,0,4229.999999999534,2.0,0,0,0.0,10,20,42,38
4,4,0,0,637636.5,2.0,1,0,0.0,8,16,42,45
4,15,0,0,7800.959999999963,0.0,1,0,0.0,16,34,42,74
4,3,0,0,0.0,1.0,6,0,0.0,11,16,49,23
4,1,0,0,0.0,0.0,0,0,0.0,2,7,50,44
4,24,0,0,112094.0,0.0,0,0,0.0,3,9,52,75
4,16,0,0,0.0,2.0,1,0,0.0,15,22,53,89
4,14,0,0,740.0,4.0,1,0,0.0,20,45,57,43
4,22,0,0,180131.5,0.0,0,0,0.0,7,11,57,76
4,38,0,0,217419.99999999907,4.0,0,0,3.0,18,34,58,59
4,12,0,0,0.0,2.0,0,0,0.0,4,18,58,77
4,36,0,0,11732.0,2.0,11,0,0.0,10,20,60,16
4,40,0,0,17068.0,2.0,6,0,0.0,6,8,60,30
4,19,0,0,0.0,2.0,0,0,0.0,13,26,61,24
4,10,0,0,0.0,2.0,0,0,0.0,6,13,64,68
4,32,0,0,113670.0,0.0,1,0,0.0,4,6,65,13
4,11,0,0,337395.49999999977,2.0,8,0,26.0,7,10,71,56
4,6,0,0,0.0,0.0,0,0,0.0,4,9,72,2
4,13,0,0,829279.0,4.0,0,0,26.0,18,25,74,31
4,33,0,0,0.0,0.0,0,0,0.0,1,5,74,79
4,21,0,0,0.0,1.0,0,0,0.0,9,12,85,13
4,20,0,0,0.0,1.0,12,0,0.0,11,20,89,49
4,30,0,0,1690350.0000000019,1.0,0,0,0.0,48,86,89,68
4,9,0,0,6942.499999999534,2.0,1,0,0.0,7,13,90,80
4,27,0,0,15317.0,1.0,6,0,0.0,5,7,92,77
4,8,0,0,6288.0,0.0,0,0,0.0,1,3,95,16
4,43,0,0,166332.5,2.0,1,0,1.0,5,9,96,29
4,48,0,0,241436.0,0.0,0,0,0.0,2,6,97,14
4,31,0,0,0.0,2.0,0,0,0.0,6,16,101,26
4,46,0,0,0.0,1.0,0,0,0.0,3,6,107,32
4,17,0,0,0.0,2.0,0,0,0.0,8,31,108,2
4,7,0,0,0.0,0.0,0,0,0.0,3,7,109,20
5,5,0,0,0.0,2.0,0,0,0.0,3,16,2,91
5,44,0,0,359060.5,2.0,5,0,50.0,5,7,5,79
5,26,0,0,0.0,2.0,0,0,0.0,6,11,16,43
5,42,0,0,0.0,2.0,7,0,0.0,6,7,20,71
5,34,0,0,14377.0,2.0,5,0,0.0,7,9,21,43
5,41,0,0,0.0,0.0,28,0,0.0,27,39,23,59
5,39,0,0,0.0,0.0,0,0,0.0,20,33,26,47
5,28,0,0,26963.0,1.0,0,0,0.0,4,3,30,48
5,18,0,0,436519.0,1.0,1,0,0.0,12,23,31,40
5,47,0,0,0.0,1.0,0,0,0.0,4,6,34,5
5,0,0,0,453.0,2.0,1,0,0.0,33,80,35,76
5,37,0,0,175956.5,2.0,1,0,0.0,9,16,36,30
5,23,0,0,1533.0,2.0,7,0,0.0,6,9,38,13
5,25,0,0,276456.0,1.0,7,0,0.0,8,10,40,10
5,2,0,0,14613.0,2.0,3,0,0.0,4,5,40,18
5,35,0,0,206999.99999999977,2.0,0,0,0.0,7,11,41,63
5,29,0,0,817790.9249999993,2.0,0,0,0.0,10,20,42,38
